City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bazpur,0,IN,1551944607,59,29.15,79.12,19.8,1.76
nabire,92,ID,1551944608,100,-3.36,135.5,20.57,0.86
shirokiy,0,RU,1551944456,39,53.87,39.17,-2.22,1.34
valparaiso,1,US,1551944419,67,41.47,-87.06,-4.0,4.1
adrar,0,DZ,1551944612,16,27.87,-0.29,23.22,2.86
coos bay,1,US,1551944134,100,43.37,-124.22,3.33,3.6
puerto ayacucho,76,CO,1551944615,97,5.66,-67.63,22.72,1.21
boende,64,CD,1551944616,80,-0.28,20.88,28.97,1.41
nhulunbuy,24,AU,1551942000,70,-12.18,136.78,30.0,3.1
sao miguel do araguaia,92,BR,1551944619,93,-13.28,-50.16,23.15,1.41
mackay,1,CA,1551942000,91,53.65,-115.58,-17.0,2.6
digby,24,CA,1551943887,65,44.62,-65.76,-9.44,5.36
richards bay,0,ZA,1551944623,63,-28.77,32.06,30.35,4.71
takaka,92,NZ,1551944489,86,-40.86,172.81,20.56,2.24
tondano,40,ID,1551943800,70,1.3,124.91,29.0,4.1
vestmannaeyjar,90,IS,1551942000,100,63.44,-20.27,0.0,3.1
tanete,88,ID,1551944628,79,-3.94,119.78,26.3,7.31
balakhninskiy,36,RU,1551944630,67,58.01,114.28,-7.36,2.16
grindavik,0,IS,1551944357,79,63.84,-22.43,-4.0,6.7
kalengwa,0,ZM,1551944632,95,-13.47,25.0,25.72,1.66
ostersund,90,SE,1551944500,85,63.18,14.64,-8.0,3.1
pilar,0,AR,1551944292,88,-34.46,-58.91,26.67,3.21
telica,0,NI,1551944405,52,12.52,-86.86,26.75,5.56
kibre mengist,8,ET,1551944638,29,5.87,38.99,27.4,1.81
saint-leu,0,RE,1551944150,62,-21.15,55.28,31.0,3.6
dyersburg,1,US,1551944612,79,36.03,-89.39,-1.0,2.46
sambava,80,MG,1551944642,100,-14.27,50.17,25.65,2.26
sarandi,68,BR,1551944643,86,-27.94,-52.92,20.37,4.26
pacific grove,90,US,1551944631,87,36.62,-121.92,12.22,2.6
taltal,12,CL,1551944646,100,-25.41,-70.49,11.55,0.51
veshenskaya,0,RU,1551944647,100,49.63,41.73,-4.06,2.86
novonukutskiy,64,RU,1551944648,65,53.7,102.71,-1.63,3.91
conceicao do araguaia,64,BR,1551944351,95,-8.26,-49.26,22.1,1.26
thunder bay,75,CA,1551943877,60,48.41,-89.26,-14.0,3.1
turbat,88,PK,1551944652,52,26.0,63.05,23.07,2.01
saint anthony,90,US,1551944435,95,43.97,-111.68,2.0,4.1
sabzevar,24,IR,1551944655,52,36.21,57.68,12.6,1.06
bensonville,75,LR,1551942000,94,6.45,-10.61,25.0,1.5
leh,48,IN,1551944658,89,34.16,77.58,-14.36,0.91
zhangzhou,75,CN,1551942000,58,24.51,117.65,13.0,7.0
saurimo,90,AO,1551942000,83,-9.66,20.4,22.0,1.91
pulsano,40,IT,1551944405,93,40.38,17.36,14.0,3.1
bathsheba,40,BB,1551942000,83,13.22,-59.52,25.0,7.2
cherskiy,0,RU,1551944664,43,68.75,161.3,-25.88,0.86
algarrobo,8,CO,1551944666,80,10.19,-74.06,20.22,1.61
bima,92,ID,1551944667,98,-8.45,118.73,25.6,1.56
turukhansk,88,RU,1551944668,85,65.8,87.96,-9.46,11.56
bizhbulyak,8,RU,1551944669,92,53.69,54.27,-6.41,5.01
boca do acre,36,BR,1551944671,97,-8.76,-67.39,23.8,0.96
jarva-jaani,80,EE,1551944588,72,59.04,25.89,-0.57,2.68
gat,0,SN,1551942000,88,14.69,-16.54,17.0,10.8
tabory,48,PL,1551944463,71,53.89,19.53,5.56,7.26
marrakesh,75,MA,1551942000,81,31.63,-7.99,12.0,2.6
yulara,0,AU,1551942000,12,-25.24,130.99,37.0,4.1
cape coast,8,GH,1551944679,79,5.11,-1.24,29.85,1.86
canalete,12,CO,1551944680,95,8.79,-76.24,26.45,4.81
faya,40,SA,1551942000,33,18.39,42.45,17.0,2.1
halifax,20,CA,1551944407,78,44.65,-63.58,-11.11,4.1
gamba,0,CN,1551944685,85,28.28,88.52,-6.06,4.41
yeppoon,80,AU,1551942000,62,-23.13,150.74,29.0,5.1
broken hill,0,AU,1551942000,13,-31.97,141.45,25.0,6.2
kananga,0,CD,1551944688,81,-5.9,22.41,26.87,1.61
saldanha,76,PT,1551944690,91,41.42,-6.55,5.1,3.56
karratha,20,AU,1551944691,20,-20.74,116.85,39.07,5.61
abalak,0,NE,1551944693,23,15.46,6.28,27.8,6.46
pocinhos,32,BR,1551944694,93,-7.08,-36.06,21.65,2.56
puerto suarez,8,BO,1551944696,78,-18.96,-57.8,25.2,1.31
akim swedru,0,GH,1551944697,73,5.89,-1.02,29.6,2.06
nyimba,92,ZM,1551944698,84,-14.56,30.81,24.35,1.41
alofi,8,NU,1551942000,88,-19.06,-169.92,25.0,2.6
bridgetown,40,CA,1551943887,61,44.84,-65.29,-9.44,6.2
kavaratti,0,IN,1551944702,100,10.57,72.64,27.5,5.06
tromso,40,NO,1551944326,79,69.65,18.96,-6.0,1.5
northam,40,GB,1551944703,81,51.04,-4.21,7.78,4.6
inta,64,RU,1551944706,76,66.04,60.13,-9.81,2.66
nome,90,US,1551944706,71,30.04,-94.42,13.33,2.1
harper,90,US,1551944446,70,30.3,-99.24,9.0,5.1
fene,40,ES,1551944707,87,43.47,-8.16,10.56,2.1
lazaro cardenas,44,MX,1551944640,35,28.39,-105.62,16.67,0.89
hengyang,92,CN,1551944713,99,26.89,112.6,11.22,3.41
warrnambool,0,AU,1551944530,55,-38.38,142.48,18.89,4.01
lagoa,0,PT,1551944532,93,37.14,-8.45,9.44,0.5
robe,8,ET,1551944718,34,7.12,40.01,24.25,2.61
provideniya,68,RU,1551944719,100,64.42,-173.23,-8.93,9.71
kamenka,0,RU,1551944721,94,53.19,44.05,-7.71,2.01
camapua,0,BR,1551944722,91,-19.53,-54.04,20.22,2.31
siruguppa,0,IN,1551944723,27,15.63,76.89,35.07,2.01
golden gate,90,US,1551944719,68,38.36,-88.2,-0.57,1.91
vila velha,75,BR,1551944290,94,-3.71,-38.6,26.11,3.1
sao francisco,75,BR,1551942000,100,-25.65,-53.85,22.0,2.1
klyuchi,68,RU,1551944729,89,52.25,79.17,-0.71,5.11
saint-gabriel,1,CA,1551944181,70,46.3,-73.38,-18.89,1.0
otwock,0,PL,1551944703,77,52.11,21.27,7.78,5.7
hammelburg,80,DE,1551944722,64,50.12,9.9,11.11,5.81
winona,90,CA,1551944704,92,43.21,-79.65,-8.33,2.6
grand gaube,40,MU,1551944644,62,-20.01,57.66,30.0,4.1
kichera,56,RU,1551944738,73,55.93,110.1,-4.38,0.96
santa maria,8,BR,1551944684,81,-29.69,-53.81,22.07,4.51
matagami,32,NG,1551944741,64,9.67,8.4,27.72,1.86
bela,20,PK,1551944742,51,26.23,66.31,23.5,1.71
tsaratanana,80,MG,1551944744,98,-16.8,47.65,24.15,1.76
launceston,90,AU,1551944739,54,-41.43,147.14,16.11,8.7
grasse,75,FR,1551944736,76,43.66,6.92,15.0,1.5
siverek,40,TR,1551941400,87,37.75,39.32,7.0,9.3
seoul,1,KR,1551943200,32,37.57,126.98,13.0,3.6
quthing,64,LS,1551944751,45,-30.4,27.7,22.97,1.01
kibaya,40,RW,1551944570,77,-2.2,30.56,21.0,2.6
san quintin,24,PH,1551944754,52,17.54,120.52,28.8,2.56
ampanihy,8,MG,1551944755,47,-24.69,44.75,32.3,6.31
talara,68,PE,1551944757,77,-4.58,-81.27,23.85,0.91
san carlos de bariloche,40,AR,1551942000,81,-41.13,-71.31,10.0,8.7
si racha,20,TH,1551944555,62,13.17,100.93,37.78,5.7
jacqueville,0,CI,1551944761,73,5.21,-4.42,30.72,3.36
formosa,20,AR,1551944762,79,-26.19,-58.17,24.72,5.16
kroya,80,ID,1551944763,71,-6.5,108.06,28.8,1.61
orsk,75,RU,1551942000,96,51.23,58.47,1.0,10.0
mahon,40,IE,1551944513,86,51.89,-8.4,6.67,9.3
san jose,0,PH,1551944769,53,15.79,120.99,28.55,1.61
jalu,0,LY,1551944770,46,29.03,21.55,21.0,2.11
udachnyy,56,RU,1551944772,63,66.42,112.4,-10.86,3.01
susa,44,CO,1551944773,84,5.45,-73.81,9.0,0.96
mandalgovi,20,MN,1551944774,77,45.76,106.27,4.72,2.76
kalmunai,12,LK,1551944776,69,7.42,81.82,32.57,3.01
batemans bay,0,AU,1551944776,61,-35.71,150.18,20.0,2.24
hofn,80,IS,1551944778,100,64.25,-15.21,-0.03,11.21
san policarpo,8,PH,1551944780,91,12.18,125.51,25.97,3.41
talnakh,76,RU,1551944781,85,69.49,88.39,-12.16,12.26
burgeo,12,CA,1551944782,100,47.61,-57.61,-7.41,11.86
gharo,0,PK,1551941700,32,24.74,67.58,27.0,2.1
diu,0,IN,1551944784,27,20.71,70.98,32.45,1.96
plymouth,20,GB,1551944770,75,50.37,-4.14,8.33,13.9
terenos,20,BR,1551942000,88,-20.44,-54.87,24.0,3.1
ushtobe,12,KZ,1551944789,81,45.25,77.98,7.5,2.76
arawa,8,NG,1551942000,88,7.05,3.9,23.0,1.76
pontianak,40,ID,1551943800,66,-0.02,109.34,31.0,1.81
howard springs,40,AU,1551944781,59,-12.5,131.05,33.89,4.6
binzhou,0,CN,1551944795,31,37.38,117.96,11.57,1.86
chumphon,20,TH,1551942000,62,10.5,99.18,32.0,4.1
cuajinicuilapa,0,MX,1551944723,98,16.47,-98.41,24.2,2.51
nakhon sawan,0,TH,1551944568,37,15.7,100.13,39.44,2.51
hami,20,CN,1551944800,44,42.84,93.51,13.12,3.31
